,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
40,정규강좌,취업,창업,청년 창업 지원,2,40,iframe,False
41,정규강좌,취업,직무적성검사,확신의 덫,2,41,frame,False
42,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 기술능력,2,42,frame,False
43,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 수리능력,2,43,frame,False
44,정규강좌,취업,직업기초능력,NCS 직업기초능력평가 - 자원관리능력,2,44,frame,False
45,정규강좌,생활/인문교양,인문,통신서비스 활용 및 피해예방 교육,2,45,iframe,False
46,정규강좌,시민교육,ESG,"[카드뉴스] 지속가능한 기업의 성공 법칙, ESG 빠르게 읽기",2,46,iframe,False
47,정규강좌,시민교육,ESG,"기후 변화 시대, 새로운 마인드셋",2,47,frame,False
48,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.1 [기초],2,48,iframe,False
49,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.2 [기초],2,49,iframe,False
50,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.3 [기초],2,50,iframe,False
51,정규강좌,외국어,영어,스낵영어네이티브: The Life 1.4 [기초],2,51,iframe,False
52,정규강좌,다문화,-,Magic Hangul Phonics,2,52,iframe,False
53,정규강좌,다문화,-,[공통 이문화] Let′s Culturally Fluent! 이문화 이해와 글로벌 에티켓,2,53,iframe,False
54,정규강좌,다문화,-,비즈니스 한국어 - 입문,2,54,iframe,False
55,테마강좌,우와'한 광주-광주학 콘텐츠,,책 읽기는 애쓰기다,2,55,iframe,False
56,테마강좌,우와'한 광주-광주학 콘텐츠,,시에서 찾는 인생의 지혜,2,56,iframe,False
57,테마강좌,우와'한 광주-광주학 콘텐츠,,유네스코 미디어아트 창의도시 광주와 나,2,57,iframe,False
58,테마강좌,우와'한 광주-광주학 콘텐츠,,위드 코로나시대 미래교육과 에듀테크,2,58,iframe,False
59,테마강좌,법정의무교육,인권교육,[직장인의 품격] 공공기관 청렴·반부패 교육,2,59,iframe,False
60,테마강좌,법정의무교육,인권교육,[직장인의 품격] 윤리경영,2,60,iframe,False
61,테마강좌,법정의무교육,안전보건교육,안전한 일터를 위한 중대재해처벌법,2,61,frame,False
62,테마강좌,주민자치강좌,-,주민자치와 주민자치회의 이해,2,62,iframe,False
63,테마강좌,주민자치강좌,-,주민주권과 자치,2,63,iframe,False
64,테마강좌,주민자치강좌,-,Yes!를 이끄는 설득협상 기법,2,64,iframe,False
65,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-심화이론,3,65,frame,False
66,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-핵심요약,3,66,frame,False
67,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산세법-심화이론,3,67,frame,False
68,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-족집게특강,3,68,68,False
69,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-족집게특강,3,69,69,False
70,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-핵심요약,3,70,70,False
71,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-2차] 부동산공시법-족집게특강,3,71,71,False
72,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-2차] 부동산세법-족집게특강,3,72,72,False
73,정규강좌,정보화/IT,빅데이터,빅데이터는 어떻게 기업의 무기가 되는가,3,73,73,False
74,정규강좌,정보화/IT,SNS활용,MZ세대를 사로잡은 디지털 마케팅 트렌드,3,74,74,False
